x,target,prime_truncation,spectral_partial,prime_abs_error,spectral_abs_error
1.0,0.023067964030231286,0.030142923151432147,0.017956407731216248,0.00707495912120086,0.005111556299015041
1.3478260869565217,0.02305515121491226,0.023991611472809544,0.017943627015722694,0.0009364602578972858,0.005111524199189564
1.6956521739130435,0.023042372644552757,0.02321229524700292,0.017930880544351824,0.0001699226024501635,0.005111492100200931
2.0434782608695654,0.023029628156592798,0.023067486265522155,0.0179181681545437,3.785810892935463e-05,0.005111460002049101
2.391304347826087,0.023016917589555225,0.023026688406320564,0.01790548968482119,9.770816765337982e-06,0.005111427904734035
2.7391304347826084,0.023004240783036516,0.02300706107656759,0.017892844974780824,2.8202935310756585e-06,0.005111395808255692
3.0869565217391304,0.022991597577697705,0.02299248718144604,0.01788023386508367,8.896037483355496e-07,0.005111363712614034
3.4347826086956523,0.0229789878152554,0.02297928953970604,0.01786765619744638,3.0172445063962875e-07,0.0051113316178090186
3.782608695652174,0.022966411338472888,0.022966520080838146,0.017855111814632278,1.0874236525858228e-07,0.005111299523840609
4.130434782608695,0.02295386799115131,0.0229539092648456,0.017842600560442547,4.127369428753521e-08,0.005111267430708762
4.478260869565217,0.022941357618120963,0.022941374001705865,0.01783012227970752,1.6383584903688946e-08,0.00511123533841344
4.826086956521739,0.02292888006523266,0.022928886829140772,0.01781767681827806,6.763908110489672e-09,0.0051112032469546025
5.173913043478261,0.0229164351793492,0.022916438070606077,0.017805264023016992,2.8912568774944827e-09,0.0051111711563322105
5.521739130434782,0.022904022808336897,0.022904024083208276,0.017792883741790673,1.2748713800780454e-09,0.005111139066546223
5.869565217391305,0.022891642801057214,0.02289164337914264,0.017780535823460616,5.780854269536037e-10,0.0051111069775966
6.217391304347826,0.022879295007358493,0.022879295276218754,0.01776822011787519,2.6886026017013545e-10,0.005111074889483302
6.565217391304348,0.02286697927806773,0.022866979406034955,0.01775593647586144,1.279672223560922e-10,0.005111042802206291
6.913043478260869,0.022854695464982477,0.022854695527193995,0.01774368474921695,6.221151716934603e-11,0.005111010715765524
7.260869565217391,0.022842443420862776,0.02284244345170281,0.017731464790701815,3.084003521857886e-11,0.005110978630160963
7.608695652173913,0.022830222999423232,0.022830223014989822,0.017719276454030666,1.5566588475217688e-11,0.005110946545392568
7.956521739130435,0.02281803405532511,0.022818034063315056,0.017707119593864812,7.989946285111503e-12,0.005110914461460299
8.304347826086957,0.022805876444168545,0.022805876448334053,0.01769499406580443,4.165505607663098e-12,0.005110882378364116
