delta,N,majorant
0.1,14.653573537152557,96.98069804615174
0.1,15.074535755182685,96.9223397520126
0.1,15.507591213715518,96.8635358070019
0.1,15.953087322707558,96.80428919876903
0.1,16.41138147237477,96.7446029016285
0.1,16.88284131990163,96.68447987661142
0.1,17.367845084386612,96.62392307151681
0.1,17.86678185026084,96.56293542096286
0.1,18.380051879423142,96.5015198464378
0.1,18.908066932342056,96.43967925635077
0.1,19.4512505983823,96.37741654608237
0.1,20.010038635620756,96.31473459803522
0.1,20.584879320424548,96.251636281684
0.1,21.17623380707165,96.18812445362572
0.1,21.784576497702574,96.12420195762955
0.1,22.410395422899835,96.05987162468644
0.1,23.054192633200618,95.99513627305873
0.1,23.7164846018566,95.92999870832959
0.1,24.39780263916417,95.86446172345201
0.1,25.098693318697336,95.7985280987979
0.1,25.81971891578523,95.73220060220697
0.1,26.561457858586174,95.6654819890353
0.1,27.324505192119872,95.5983750022038
0.1,28.10947305563023,95.53088237224657
0.1,28.916991173661632,95.46300681735896
0.1,29.747707361242703,95.39475104344564
0.1,30.602288043582753,95.32611774416819
0.1,31.481418790697884,95.25710960099289
0.1,32.38580486739565,95.18772928323813
0.1,33.3161717990594,95.1179794481215
0.1,34.27326595368635,95.04786274080713
0.1,35.25785514064612,94.97738179445247
0.1,36.27072922664026,94.90653923025504
0.1,37.31270076935677,94.83533765749911
0.1,38.38460566932803,94.76377967360202
0.1,39.48730384051502,94.69186786416054
0.1,40.62167990015588,94.61960480299685
0.1,41.78864387843218,94.54699305220456
0.1,42.98913194852203,94.47403516219433
0.1,44.224107177626195,94.40073367173966
0.1,45.494560299569116,94.32709110802209
0.1,46.801510509595055,94.25310998667665
0.1,48.14600628199678,94.17879281183686
0.1,49.52912621123284,94.10414207617966
0.1,50.951979877208046,94.02916026097022
0.1,52.41570873541146,93.95384983610657
0.1,53.92148703262588,93.87821326016402
0.1,55.470522748943566,93.80225298043939
0.1,57.06405856684369,93.72597143299531
0.1,58.70337286810918,93.649371042704
0.1,60.38978075938256,93.57245422329116
0.1,62.12463512718363,93.49522337737972
0.1,63.90932772323508,93.41768089653314
0.1,65.74529028096728,93.33982916129894
0.1,67.63399566409723,93.26167054125177
0.1,69.57695904820366,93.18320739503642
0.1,71.5757391362459,93.10444207041081
0.1,73.63193940900169,93.02537690428856
0.1,75.74720941142708,92.94601422278166
0.1,77.92324607597048,92.86635634124286
0.1,80.16179508390225,92.78640556430781
0.1,82.46465226575206,92.70616418593735
0.1,84.83366504197755,92.62563448945934
0.1,87.27073390501991,92.54481874761042
0.1,89.77781394393531,92.46371922257772
0.1,92.35691641282563,92.38233816604038
0.1,95.01011034432591,92.30067781921089
0.1,97.7395242094442,92.21874041287614
0.1,100.54734762508403,92.1365281674387
0.1,103.43583311062022,92.05404329295747
0.1,106.40729789493666,91.97128798918865
0.1,109.46412577537669,91.88826444562616
0.1,112.60876903009535,91.80497484154225
0.1,115.84375038535073,91.72142134602763
0.1,119.17166503930898,91.63760611803183
0.1,122.59518274399034,91.553531306403
0.1,126.11704994702254,91.46919904992801
0.1,129.74009199492374,91.3846114773719
0.1,133.4672153996784,91.29977070751777
0.1,137.30141017042865,91.21467884920592
0.1,141.24575221214747,91.12933800137344
0.1,145.3034057932215,91.04375025309301
0.1,149.47762608392154,90.95791768361222
0.1,153.77176176779594,90.87184236239229
0.1,158.1892577280852,90.7855263491468
0.1,162.7336578113084,90.69897169388031
0.1,167.40860767024344,90.61218043692674
0.1,172.21785768857677,90.52515460898783
0.1,177.16526598957398,90.43789623117104
0.1,182.25480153117945,90.35040731502785
0.1,187.49054729003385,90.26268986259151
0.1,192.87670353695782,90.17474586641475
0.1,198.41759120653552,90.08657730960746
0.1,204.11765536349526,89.9981861658742
0.1,209.981468768674,89.90957439955147
0.1,216.01373554742068,89.82074396564492
0.1,222.21929496338578,89.73169680986648
0.1,228.60312530072326,89.64243486867115
0.1,235.1703478578163,89.55296006929402
0.1,241.92623105573705,89.46327432978663
0.1,248.8761946647285,89.37337955905387
0.1,256.0258141521073,89.28327765689008
0.1,263.38082515506716,89.19297051401541
0.1,270.9471280819796,89.10246001211199
0.1,278.7307928458748,89.01174802385991
0.1,286.7380637339082,88.920836412973
0.1,294.975364416711,88.82972703423472
0.1,303.4493031016521,88.73842173353368
0.1,312.1666778341362,88.64692234789914
0.1,321.1344819511985,88.55523070553625
0.1,330.35990969176885,88.4633486258615
0.1,339.8503619681015,88.37127791953765
0.1,349.6134523030094,88.27902038850861
0.1,359.6570129376559,88.1865778260345
0.1,369.9891011148139,88.09395201672616
0.1,380.61800554262305,88.00114473657989
0.1,391.5522530440389,87.90815775301175
0.1,402.80061539730445,87.81499282489199
0.1,414.372116372929,87.72165170257924
0.1,426.27603897282785,87.62813612795452
0.1,438.5219328774191,87.53444783445528
0.1,451.1196221066644,87.44058854710917
0.1,464.0792129011862,87.34655998256781
0.1,477.41110182979804,87.25236384914024
0.1,491.1259841299368,87.15800184682654
0.1,505.2348622877043,87.06347566735104
0.1,519.7490548643843,86.96878699419561
0.1,534.680205576533,86.87393750263273
0.1,550.0402926369098,86.77892885975841
0.1,565.8416383637606,86.68376272452511
0.1,582.0969190661428,86.58844074777444
0.1,598.8191752132395,86.4929645722698
0.1,616.0218218958129,86.39733583272879
0.1,633.7186595881843,86.30155615585566
0.1,651.92388521939,86.20562716037354
0.1,670.6521035623741,86.10955045705651
0.1,689.9183389503772,86.01332764876176
0.1,709.7380473298967,85.91696033046134
0.1,730.1271286599125,85.82045008927399
0.1,751.1019396673007,85.7237985044969
0.1,772.6793069686918,85.62700714763704
0.1,794.8765405692761,85.53007758244284
0.1,817.7114477494113,85.43301136493531
0.1,841.2023473501446,85.33581004343942
0.1,865.3680844691385,85.23847515861496
0.1,890.2280455787619,85.14100824348776
0.1,915.8021740784968,85.04341082348036
0.1,942.110986294129,84.94568441644282
0.1,969.1755879365477,84.84783053268337
0.1,997.0176910333811,84.74985067499898
0.1,1025.6596313470227,84.65174633870562
0.1,1055.1243862930517,84.55351901166864
0.1,1085.4355933733896,84.455170174333
0.1,1116.6175691390163,84.3567012997533
0.1,1148.6953286974197,84.25811385362364
0.1,1181.694605780468,84.15940929430766
0.1,1215.6418733887647,84.0605890728682
