q,rate_exponent
0.5,0.0
0.5040080160320641,0.002672010688042755
0.5080160320641283,0.00534402137608551
0.5120240480961924,0.008016032064128265
0.5160320641282565,0.01068804275217102
0.5200400801603207,0.013360053440213774
0.5240480961923848,0.01603206412825653
0.5280561122244489,0.018704074816299283
0.5320641282565131,0.02137608550434204
0.5360721442885772,0.024048096192384794
0.5400801603206413,0.026720106880427547
0.5440881763527055,0.029392117568470304
0.5480961923847696,0.03206412825651306
0.5521042084168337,0.034736138944555815
0.5561122244488977,0.037408149632598496
0.5601202404809619,0.040080160320641246
0.564128256513026,0.042752171008684
0.5681362725450901,0.04542418169672676
0.5721442885771543,0.04809619238476951
0.5761523046092184,0.05076820307281227
0.5801603206412825,0.053440213760855025
0.5841683366733467,0.056112224448897775
0.5881763527054108,0.05878423513694053
0.5921843687374749,0.06145624582498329
0.5961923847695391,0.06412825651302605
0.6002004008016032,0.0668002672010688
0.6042084168336673,0.06947227788911155
0.6082164328657315,0.07214428857715431
0.6122244488977956,0.07481629926519706
0.6162324649298597,0.07748830995323981
0.6202404809619239,0.08016032064128258
0.624248496993988,0.08283233132932533
0.6282565130260521,0.08550434201736808
0.6322645290581163,0.08817635270541084
0.6362725450901804,0.09084836339345359
0.6402805611222445,0.09352037408149634
0.6442885771543085,0.09619238476953902
0.6482965931863727,0.09886439545758179
0.6523046092184368,0.10153640614562454
0.6563126252505009,0.10420841683366729
0.6603206412825651,0.10688042752171005
0.6643286573146292,0.1095524382097528
0.6683366733466933,0.11222444889779555
0.6723446893787575,0.11489645958583831
0.6763527054108216,0.11756847027388106
0.6803607214428857,0.12024048096192382
0.6843687374749499,0.12291249164996658
0.688376753507014,0.12558450233800933
0.6923847695390781,0.1282565130260521
0.6963927855711423,0.13092852371409483
0.7004008016032064,0.1336005344021376
0.7044088176352705,0.13627254509018036
0.7084168336673347,0.1389445557782231
0.7124248496993988,0.14161656646626586
0.7164328657314629,0.14428857715430862
0.720440881763527,0.14696058784235136
0.7244488977955912,0.14963259853039412
0.7284569138276553,0.1523046092184369
0.7324649298597194,0.15497661990647962
0.7364729458917836,0.1576486305945224
0.7404809619238477,0.16032064128256515
0.7444889779559118,0.1629926519706079
0.748496993987976,0.16566466265865065
0.7525050100200401,0.16833667334669342
0.7565130260521042,0.17100868403473615
0.7605210420841684,0.17368069472277892
0.7645290581162325,0.17635270541082168
0.7685370741482966,0.17902471609886442
0.7725450901803608,0.18169672678690718
0.7765531062124249,0.18436873747494995
0.780561122244489,0.18704074816299268
0.7845691382765531,0.18971275885103536
0.7885771543086172,0.19238476953907813
0.7925851703406813,0.1950567802271209
0.7965931863727455,0.19772879091516363
0.8006012024048096,0.2004008016032064
0.8046092184368737,0.20307281229124916
0.8086172344689379,0.2057448229792919
0.812625250501002,0.20841683366733466
0.8166332665330661,0.21108884435537742
0.8206412825651302,0.21376085504342016
0.8246492985971944,0.21643286573146292
0.8286573146292585,0.21910487641950568
0.8326653306613226,0.22177688710754842
0.8366733466933867,0.2244488977955911
0.8406813627254508,0.22712090848363387
0.8446893787575149,0.22979291917167663
0.8486973947895791,0.23246492985971937
0.8527054108216432,0.23513694054776213
0.8567134268537073,0.2378089512358049
0.8607214428857715,0.24048096192384763
0.8647294589178356,0.2431529726118904
0.8687374749498997,0.24582498329993316
0.8727454909819639,0.2484969939879759
0.876753507014028,0.25116900467601866
0.8807615230460921,0.2538410153640614
0.8847695390781563,0.2565130260521042
0.8887775551102204,0.2591850367401469
0.8927855711422845,0.26185704742818966
0.8967935871743486,0.26452905811623245
0.9008016032064128,0.2672010688042752
0.9048096192384769,0.2698730794923179
0.908817635270541,0.2725450901803607
0.9128256513026052,0.27521710086840345
0.9168336673346693,0.2778891115564462
0.9208416833667334,0.280561122244489
0.9248496993987976,0.2832331329325317
0.9288577154308617,0.28590514362057445
0.9328657314629258,0.28857715430861725
0.93687374749499,0.29124916499666
0.9408817635270541,0.2939211756847027
0.9448897795591182,0.2965931863727455
0.9488977955911824,0.29926519706078825
0.9529058116232465,0.301937207748831
